Device: mps
Train batches: 404 | Val batches: 45
Class weights: {'angry': 1.02, 'disgust': 9.417, 'fear': 1.005, 'happy': 0.569, 'neutral': 0.829, 'sad': 0.847, 'surprise': 1.291}
Epoch  1/40 | train loss 1.7775 acc 0.3062 | val loss 1.5178 acc 0.4383 | lr 1.0e-03 | 60s  <- saved best
Epoch  2/40 | train loss 1.5121 acc 0.4234 | val loss 1.4208 acc 0.4282 | lr 1.0e-03 | 53s
Epoch  3/40 | train loss 1.4005 acc 0.4653 | val loss 1.2799 acc 0.5213 | lr 1.0e-03 | 53s  <- saved best
Epoch  4/40 | train loss 1.3389 acc 0.4924 | val loss 1.2312 acc 0.5213 | lr 1.0e-03 | 53s
Epoch  5/40 | train loss 1.2941 acc 0.5069 | val loss 1.1823 acc 0.5401 | lr 1.0e-03 | 52s  <- saved best
Epoch  6/40 | train loss 1.2590 acc 0.5177 | val loss 1.1744 acc 0.5620 | lr 1.0e-03 | 54s  <- saved best
Epoch  7/40 | train loss 1.2131 acc 0.5318 | val loss 1.1460 acc 0.5575 | lr 1.0e-03 | 55s
Epoch  8/40 | train loss 1.2009 acc 0.5404 | val loss 1.1107 acc 0.5850 | lr 1.0e-03 | 54s  <- saved best
Epoch  9/40 | train loss 1.1627 acc 0.5516 | val loss 1.1065 acc 0.5606 | lr 1.0e-03 | 54s
Epoch 10/40 | train loss 1.1378 acc 0.5585 | val loss 1.0887 acc 0.5749 | lr 1.0e-03 | 54s
Epoch 11/40 | train loss 1.1276 acc 0.5625 | val loss 1.0997 acc 0.5812 | lr 1.0e-03 | 55s
Epoch 12/40 | train loss 1.1098 acc 0.5691 | val loss 1.0922 acc 0.5941 | lr 1.0e-03 | 53s  <- saved best
Epoch 13/40 | train loss 1.0727 acc 0.5799 | val loss 1.1336 acc 0.6056 | lr 1.0e-03 | 53s  <- saved best
Epoch 14/40 | train loss 1.0747 acc 0.5781 | val loss 1.0536 acc 0.5962 | lr 1.0e-03 | 53s
Epoch 15/40 | train loss 1.0715 acc 0.5819 | val loss 1.0655 acc 0.6045 | lr 1.0e-03 | 53s
Epoch 16/40 | train loss 1.0297 acc 0.5944 | val loss 1.0779 acc 0.5962 | lr 1.0e-03 | 53s
Epoch 17/40 | train loss 1.0298 acc 0.5937 | val loss 1.0774 acc 0.5927 | lr 5.0e-04 | 78s
Epoch 18/40 | train loss 0.9684 acc 0.6150 | val loss 1.0143 acc 0.6254 | lr 5.0e-04 | 68s  <- saved best

Epoch 19/40 | train loss 0.9277 acc 0.6313 | val loss 0.9943 acc 0.6286 | lr 5.0e-04 | 267s  <- saved best
Epoch 20/40 | train loss 0.9186 acc 0.6311 | val loss 0.9952 acc 0.6429 | lr 5.0e-04 | 54s  <- saved best
Epoch 21/40 | train loss 0.8977 acc 0.6404 | val loss 1.0475 acc 0.6244 | lr 5.0e-04 | 53s
Epoch 22/40 | train loss 0.8842 acc 0.6434 | val loss 1.0559 acc 0.6334 | lr 5.0e-04 | 53s
Epoch 23/40 | train loss 0.8674 acc 0.6482 | val loss 1.0422 acc 0.6352 | lr 5.0e-04 | 53s
Epoch 24/40 | train loss 0.8487 acc 0.6576 | val loss 0.9949 acc 0.6390 | lr 2.5e-04 | 53s
Epoch 25/40 | train loss 0.8242 acc 0.6653 | val loss 0.9856 acc 0.6463 | lr 2.5e-04 | 53s  <- saved best
Epoch 26/40 | train loss 0.7920 acc 0.6734 | val loss 1.0263 acc 0.6467 | lr 2.5e-04 | 53s  <- saved best
Epoch 27/40 | train loss 0.7740 acc 0.6831 | val loss 1.0067 acc 0.6557 | lr 2.5e-04 | 53s  <- saved best
Epoch 28/40 | train loss 0.7586 acc 0.6863 | val loss 1.0095 acc 0.6467 | lr 2.5e-04 | 53s
Epoch 29/40 | train loss 0.7521 acc 0.6923 | val loss 1.0401 acc 0.6467 | lr 2.5e-04 | 53s
Epoch 30/40 | train loss 0.7425 acc 0.6965 | val loss 1.0104 acc 0.6491 | lr 2.5e-04 | 53s
Epoch 31/40 | train loss 0.7366 acc 0.7006 | val loss 1.0329 acc 0.6446 | lr 1.3e-04 | 53s
Epoch 32/40 | train loss 0.7052 acc 0.7109 | val loss 1.0412 acc 0.6551 | lr 1.3e-04 | 53s
Epoch 33/40 | train loss 0.6917 acc 0.7162 | val loss 1.0408 acc 0.6564 | lr 1.3e-04 | 53s  <- saved best
Epoch 34/40 | train loss 0.6779 acc 0.7204 | val loss 1.0489 acc 0.6523 | lr 1.3e-04 | 53s
Epoch 35/40 | train loss 0.6690 acc 0.7243 | val loss 1.0562 acc 0.6484 | lr 1.3e-04 | 53s
Epoch 36/40 | train loss 0.6642 acc 0.7256 | val loss 1.0701 acc 0.6638 | lr 1.3e-04 | 54s  <- saved best
Epoch 37/40 | train loss 0.6447 acc 0.7332 | val loss 1.1134 acc 0.6655 | lr 1.3e-04 | 53s  <- saved best
Epoch 38/40 | train loss 0.6493 acc 0.7331 | val loss 1.0869 acc 0.6526 | lr 1.3e-04 | 53s
Epoch 39/40 | train loss 0.6389 acc 0.7378 | val loss 1.0764 acc 0.6599 | lr 1.3e-04 | 53s
Epoch 40/40 | train loss 0.6331 acc 0.7402 | val loss 1.0936 acc 0.6575 | lr 1.3e-04 | 53s

Best val accuracy: 0.6655
Best checkpoint: checkpoints/best.pt
