Device: cuda
Train batches: 404 | Val batches: 45 | MixUp/CutMix: True
Model params: 11.26M
/content/emotion-recognition/emotion-recognition/CNN/cnn_resnet_se_mixup_ema/train.py:89: UserWarning: mods argument is not needed anymore, you can stop passing it
  with FlopCounterMode(model, display=False) as fc:
Forward FLOPs/sample: 2.494e+09 | Train (fwd+bwd) FLOPs/sample: 7.483e+09
Class weights: {'angry': 1.02, 'disgust': 9.417, 'fear': 1.005, 'happy': 0.569, 'neutral': 0.829, 'sad': 0.847, 'surprise': 1.291}
Epoch   1/60 | train loss 2.1371 acc 0.0641 | val loss 2.2427 acc 0.0153 | lr 2.5e-04 | 54s  <- saved best (EMA)
Epoch   2/60 | train loss 2.0295 acc 0.1689 | val loss 2.2863 acc 0.1652 | lr 5.0e-04 | 56s  <- saved best (EMA)
Epoch   3/60 | train loss 1.9430 acc 0.2881 | val loss 2.2221 acc 0.1652 | lr 7.5e-04 | 57s
Epoch   4/60 | train loss 1.9010 acc 0.3369 | val loss 2.2411 acc 0.1652 | lr 1.0e-03 | 57s
Epoch   5/60 | train loss 1.8650 acc 0.3679 | val loss 2.2355 acc 0.1676 | lr 1.0e-03 | 57s  <- saved best (EMA)
Epoch   6/60 | train loss 1.8317 acc 0.4007 | val loss 2.2546 acc 0.1652 | lr 1.0e-03 | 57s
Epoch   7/60 | train loss 1.8125 acc 0.4154 | val loss 2.2092 acc 0.1739 | lr 9.9e-04 | 57s  <- saved best (EMA)
Epoch   8/60 | train loss 1.7851 acc 0.4349 | val loss 1.9342 acc 0.3906 | lr 9.9e-04 | 57s  <- saved best (EMA)
Epoch   9/60 | train loss 1.7566 acc 0.4583 | val loss 1.7947 acc 0.4962 | lr 9.8e-04 | 57s  <- saved best (EMA)
Epoch  10/60 | train loss 1.7483 acc 0.4635 | val loss 1.8517 acc 0.3843 | lr 9.7e-04 | 57s
Epoch  11/60 | train loss 1.7293 acc 0.4697 | val loss 1.7111 acc 0.4411 | lr 9.6e-04 | 57s
Epoch  12/60 | train loss 1.7363 acc 0.4716 | val loss 1.6982 acc 0.5331 | lr 9.5e-04 | 57s  <- saved best (EMA)
Epoch  13/60 | train loss 1.7019 acc 0.4930 | val loss 1.6092 acc 0.4659 | lr 9.4e-04 | 57s
Epoch  14/60 | train loss 1.6905 acc 0.4996 | val loss 1.5426 acc 0.5878 | lr 9.2e-04 | 57s  <- saved best (EMA)
Epoch  15/60 | train loss 1.7061 acc 0.4940 | val loss 1.6283 acc 0.4394 | lr 9.1e-04 | 57s
Epoch  16/60 | train loss 1.6977 acc 0.5032 | val loss 1.6068 acc 0.5582 | lr 8.9e-04 | 57s
Epoch  17/60 | train loss 1.6647 acc 0.5193 | val loss 1.5165 acc 0.5955 | lr 8.8e-04 | 57s  <- saved best (EMA)
Epoch  18/60 | train loss 1.6469 acc 0.5299 | val loss 1.5140 acc 0.5596 | lr 8.6e-04 | 57s
Epoch  19/60 | train loss 1.6383 acc 0.5380 | val loss 1.5137 acc 0.5523 | lr 8.4e-04 | 57s
Epoch  20/60 | train loss 1.6524 acc 0.5274 | val loss 1.4774 acc 0.5882 | lr 8.2e-04 | 57s
Epoch  21/60 | train loss 1.6261 acc 0.5379 | val loss 1.4825 acc 0.6045 | lr 7.9e-04 | 57s  <- saved best (EMA)
